Id,Patron Type Definition,Total Checkouts,Total Renewals,Age Range,Home Library Definition,Circulation Active Month,Circulation Active Year,Notice Preference Definition,Provided Email Address,Year Patron Registered,Outside of County,Supervisor District
1,SENIOR,28,13,65 to 74 years,Main Library,November,2012,email,TRUE,2003,TRUE,
2,ADULT,21,10,55 to 59 years,Main Library,October,2015,email,TRUE,2003,FALSE,
3,ADULT,275,559,60 to 64 years,Main Library,January,2015,email,TRUE,2003,TRUE,
4,ADULT,73,38,45 to 54 years,Mission Bay,February,2016,email,TRUE,2003,FALSE,
5,ADULT,182,90,45 to 54 years,Main Library,July,2016,email,TRUE,2003,FALSE,
6,SENIOR,1,0,65 to 74 years,Main Library,July,2004,email,TRUE,2003,TRUE,
7,DIGITAL ACCESS CARD,31,4,65 to 74 years,Potrero,January,2012,email,TRUE,2003,FALSE,
8,ADULT,547,177,60 to 64 years,Main Library,July,2016,phone,FALSE,2003,TRUE,
9,ADULT,28,1,60 to 64 years,Main Library,December,2015,email,TRUE,2003,FALSE,
10,ADULT,77,3,60 to 64 years,Main Library,July,2016,email,TRUE,2003,TRUE,
11,SENIOR,593,9,65 to 74 years,Main Library,September,2014,phone,FALSE,2003,FALSE,
12,SENIOR,784,589,65 to 74 years,Sunset,July,2016,email,TRUE,2003,TRUE,
13,ADULT,601,702,55 to 59 years,Main Library,July,2016,email,TRUE,2003,FALSE,
14,SENIOR,2,6,65 to 74 years,Sunset,May,2005,print,FALSE,2003,TRUE,
15,ADULT,99,226,45 to 54 years,Main Library,July,2014,email,TRUE,2003,FALSE,
16,ADULT,84,24,45 to 54 years,Main Library,August,2015,email,TRUE,2003,FALSE,
17,ADULT,369,278,55 to 59 years,Merced,July,2016,email,TRUE,2003,FALSE,
18,SENIOR,65,8,65 to 74 years,Noe Valley/Sally Brunn,February,2016,phone,FALSE,2003,FALSE,
19,ADULT,147,89,55 to 59 years,Excelsior,March,2016,email,TRUE,2003,TRUE,
20,ADULT,93,64,60 to 64 years,Main Library,February,2015,email,TRUE,2003,TRUE,
21,ADULT,321,15,60 to 64 years,Main Library,January,2015,email,TRUE,2003,FALSE,
22,ADULT,228,200,45 to 54 years,Main Library,July,2016,email,TRUE,2003,TRUE,
23,ADULT,6,3,60 to 64 years,Main Library,December,2006,email,TRUE,2003,FALSE,
24,ADULT,120,76,35 to 44 years,Chinatown,May,2016,email,TRUE,2003,FALSE,
25,SENIOR,1453,242,65 to 74 years,Richmond,July,2016,email,TRUE,2003,FALSE,
26,ADULT,5,0,35 to 44 years,North Beach,November,2007,email,TRUE,2003,FALSE,
27,SENIOR,39,32,65 to 74 years,Main Library,May,2015,phone,TRUE,2003,TRUE,
28,ADULT,31,30,35 to 44 years,Merced,June,2015,phone,TRUE,2003,FALSE,
29,ADULT,33,0,45 to 54 years,Chinatown,August,2015,email,TRUE,2003,FALSE,
30,SENIOR,230,62,65 to 74 years,Presidio,June,2016,email,TRUE,2003,FALSE,
31,ADULT,15,14,45 to 54 years,Mission,August,2015,email,TRUE,2003,FALSE,
32,RETIRED STAFF,756,232,65 to 74 years,Merced,July,2016,phone,FALSE,2003,TRUE,
33,ADULT,97,38,55 to 59 years,Main Library,January,2015,email,TRUE,2003,FALSE,
34,SENIOR,1010,505,65 to 74 years,Mission,July,2016,email,TRUE,2003,FALSE,
35,ADULT,272,455,45 to 54 years,Main Library,February,2016,email,TRUE,2003,TRUE,
36,SENIOR,0,0,65 to 74 years,Main Library,November,2007,phone,FALSE,2003,FALSE,
37,ADULT,207,47,45 to 54 years,Park,October,2014,email,TRUE,2003,FALSE,
38,ADULT,18,9,35 to 44 years,Chinatown,January,2012,email,TRUE,2003,FALSE,
39,ADULT,317,128,55 to 59 years,Main Library,March,2016,email,TRUE,2003,TRUE,
40,ADULT,24,16,45 to 54 years,Marina,April,2014,email,TRUE,2003,FALSE,
41,ADULT,28,12,55 to 59 years,Mission,February,2013,phone,FALSE,2003,FALSE,
42,ADULT,562,567,55 to 59 years,Main Library,July,2016,email,TRUE,2003,FALSE,
43,ADULT,26,6,35 to 44 years,Merced,May,2015,email,TRUE,2003,TRUE,
44,ADULT,22,0,55 to 59 years,Parkside,January,2014,email,TRUE,2003,TRUE,
45,SENIOR,576,382,65 to 74 years,Main Library,July,2016,email,TRUE,2003,FALSE,
46,SENIOR,187,76,65 to 74 years,Eureka Valley/Harvey Milk Memorial,January,2013,email,TRUE,2003,FALSE,
47,ADULT,1541,36,60 to 64 years,Parkside,July,2016,email,TRUE,2003,TRUE,
48,SENIOR,88,62,65 to 74 years,Main Library,June,2015,email,TRUE,2003,FALSE,
49,ADULT,4,0,45 to 54 years,Sunset,February,2006,email,TRUE,2003,TRUE,
50,ADULT,141,110,55 to 59 years,Marina,September,2014,email,TRUE,2003,TRUE,
51,ADULT,12,21,60 to 64 years,Anza,March,2010,email,TRUE,2003,FALSE,
52,ADULT,237,69,60 to 64 years,Main Library,July,2016,email,TRUE,2003,TRUE,
53,ADULT,1271,527,45 to 54 years,Main Library,July,2016,email,TRUE,2003,TRUE,
54,ADULT,1008,493,60 to 64 years,Merced,July,2016,email,TRUE,2003,TRUE,
55,ADULT,281,182,45 to 54 years,Mission,July,2016,email,TRUE,2003,FALSE,
56,SENIOR,7,0,65 to 74 years,Main Library,September,2010,phone,FALSE,2003,FALSE,
57,SENIOR,205,95,65 to 74 years,West Portal,July,2016,email,TRUE,2003,FALSE,
58,STAFF,19,0,45 to 54 years,Main Library,April,2011,print,FALSE,2003,FALSE,
59,SENIOR,8,1,65 to 74 years,Main Library,July,2015,email,TRUE,2003,FALSE,
60,ADULT,318,278,35 to 44 years,Ingleside,May,2016,email,TRUE,2003,FALSE,
61,SENIOR,65,137,65 to 74 years,Richmond,July,2016,email,TRUE,2003,FALSE,
62,ADULT,1065,533,55 to 59 years,Excelsior,July,2016,email,TRUE,2003,FALSE,
63,ADULT,879,91,60 to 64 years,Excelsior,July,2016,email,TRUE,2003,TRUE,
64,ADULT,6,3,60 to 64 years,Mission Bay,May,2014,email,TRUE,2003,FALSE,
65,SENIOR,29,11,65 to 74 years,Bernal Heights,May,2014,email,TRUE,2003,FALSE,
66,ADULT,17,26,60 to 64 years,Richmond,January,2015,phone,FALSE,2003,FALSE,
67,ADULT,54,5,45 to 54 years,Marina,July,2016,email,TRUE,2003,FALSE,
68,ADULT,74,112,55 to 59 years,Main Library,June,2015,email,TRUE,2003,FALSE,
69,ADULT,2311,1412,45 to 54 years,Chinatown,July,2016,email,TRUE,2003,TRUE,
70,SENIOR,109,0,65 to 74 years,Chinatown,July,2015,email,TRUE,2003,TRUE,
71,ADULT,29,15,60 to 64 years,West Portal,November,2014,phone,FALSE,2003,FALSE,
72,ADULT,268,331,55 to 59 years,Main Library,July,2016,email,TRUE,2003,TRUE,
73,ADULT,18,3,60 to 64 years,Main Library,June,2015,email,TRUE,2003,TRUE,
74,ADULT,139,187,55 to 59 years,Park,July,2016,email,TRUE,2003,FALSE,
75,SENIOR,534,152,65 to 74 years,Richmond,May,2016,email,TRUE,2003,FALSE,
76,ADULT,69,5,60 to 64 years,Main Library,July,2008,email,TRUE,2003,FALSE,
77,ADULT,73,0,55 to 59 years,Portola,February,2016,print,FALSE,2003,FALSE,
78,ADULT,108,4,45 to 54 years,Main Library,May,2015,email,TRUE,2003,TRUE,
79,ADULT,93,86,35 to 44 years,Excelsior,March,2015,phone,FALSE,2003,TRUE,
80,ADULT,1552,1184,25 to 34 years,Ortega,January,2016,email,TRUE,2003,FALSE,
81,ADULT,1207,75,60 to 64 years,Main Library,July,2016,phone,TRUE,2003,FALSE,
82,RETIRED STAFF,586,296,65 to 74 years,Main Library,July,2016,email,TRUE,2003,TRUE,
83,ADULT,157,30,35 to 44 years,Excelsior,March,2015,phone,FALSE,2003,FALSE,
84,ADULT,1229,1640,60 to 64 years,Main Library,July,2016,email,TRUE,2003,TRUE,
85,ADULT,1,1,55 to 59 years,Main Library,February,2013,email,TRUE,2003,TRUE,
86,ADULT,348,95,45 to 54 years,Main Library,May,2016,email,TRUE,2003,FALSE,
87,ADULT,104,33,55 to 59 years,Western Addition,August,2015,email,TRUE,2003,FALSE,
88,ADULT,66,36,55 to 59 years,Richmond,August,2014,phone,FALSE,2003,FALSE,
89,ADULT,44,91,35 to 44 years,Unknown,December,2014,email,TRUE,2003,FALSE,
90,ADULT,17,0,35 to 44 years,Main Library,October,2013,email,TRUE,2003,FALSE,
91,ADULT,291,30,45 to 54 years,Main Library,June,2016,email,TRUE,2003,TRUE,
92,ADULT,39,3,55 to 59 years,Main Library,July,2014,email,TRUE,2003,TRUE,
93,ADULT,108,95,60 to 64 years,Main Library,September,2014,email,TRUE,2003,TRUE,
94,ADULT,3,9,25 to 34 years,Portola,August,2006,email,TRUE,2003,FALSE,
95,ADULT,1,0,20 to 24 years,Sunset,December,2015,email,TRUE,2012,FALSE,
96,SENIOR,9,2,65 to 74 years,Chinatown,April,2004,email,TRUE,2003,TRUE,
97,SENIOR,7,5,65 to 74 years,Main Library,August,2013,email,TRUE,2003,TRUE,
98,ADULT,217,16,55 to 59 years,Richmond,November,2013,email,TRUE,2003,FALSE,
99,ADULT,815,7,60 to 64 years,Richmond,July,2016,print,FALSE,2003,FALSE,
100,ADULT,109,135,45 to 54 years,Main Library,July,2015,email,TRUE,2003,TRUE,
101,ADULT,171,60,45 to 54 years,Ortega,February,2016,email,TRUE,2003,TRUE,
102,ADULT,743,842,60 to 64 years,Main Library,July,2016,email,TRUE,2003,TRUE,
103,ADULT,101,8,55 to 59 years,Eureka Valley/Harvey Milk Memorial,June,2016,email,TRUE,2003,FALSE,
104,ADULT,47,4,35 to 44 years,Ortega,August,2010,print,FALSE,2003,TRUE,
105,SENIOR,62,26,65 to 74 years,Main Library,July,2016,email,TRUE,2003,FALSE,
106,STAFF,74,19,45 to 54 years,Main Library,April,2011,email,TRUE,2003,FALSE,
107,ADULT,112,47,45 to 54 years,Eureka Valley/Harvey Milk Memorial,July,2016,email,TRUE,2003,TRUE,
108,SENIOR,1051,478,65 to 74 years,Presidio,October,2013,email,TRUE,2003,FALSE,
109,SENIOR,817,9,65 to 74 years,Presidio,August,2013,phone,FALSE,2003,FALSE,
110,ADULT,30,25,35 to 44 years,Chinatown,March,2016,email,TRUE,2003,TRUE,
111,ADULT,104,31,55 to 59 years,Mission,June,2016,phone,FALSE,2003,FALSE,
112,ADULT,17,0,45 to 54 years,Main Library,March,2016,email,TRUE,2003,FALSE,
113,ADULT,282,357,45 to 54 years,Main Library,July,2015,email,TRUE,2003,FALSE,
114,SENIOR,1434,159,65 to 74 years,Main Library,July,2016,phone,FALSE,2003,FALSE,
115,ADULT,75,80,60 to 64 years,Main Library,April,2014,email,TRUE,2003,TRUE,
116,ADULT,4162,1820,45 to 54 years,Portola,July,2016,email,TRUE,2003,TRUE,
117,ADULT,499,613,55 to 59 years,Excelsior,June,2015,email,TRUE,2003,FALSE,
118,ADULT,23,18,60 to 64 years,Merced,December,2013,email,TRUE,2003,TRUE,
119,ADULT,217,114,35 to 44 years,Mission Bay,July,2016,email,TRUE,2003,FALSE,
120,ADULT,14,8,25 to 34 years,Mission,January,2013,email,TRUE,2003,FALSE,
121,ADULT,1285,71,45 to 54 years,Potrero,July,2016,email,TRUE,2003,FALSE,
122,ADULT,130,13,35 to 44 years,Excelsior,June,2015,email,TRUE,2003,TRUE,
123,ADULT,456,360,60 to 64 years,Main Library,March,2016,email,TRUE,2003,FALSE,
124,SENIOR,5,5,65 to 74 years,Main Library,May,2013,email,TRUE,2003,TRUE,
125,ADULT,537,239,55 to 59 years,Richmond,July,2016,email,TRUE,2003,FALSE,
126,ADULT,896,35,55 to 59 years,Main Library,July,2016,email,TRUE,2003,FALSE,
127,ADULT,241,142,25 to 34 years,Ortega,July,2016,email,TRUE,2003,FALSE,
128,ADULT,301,20,45 to 54 years,Excelsior,April,2016,email,TRUE,2003,FALSE,
129,SENIOR,201,114,65 to 74 years,Main Library,June,2016,phone,FALSE,2003,TRUE,
130,ADULT,388,321,60 to 64 years,Chinatown,July,2016,email,TRUE,2003,TRUE,
131,SENIOR,42,116,65 to 74 years,Main Library,May,2014,phone,FALSE,2003,TRUE,
132,ADULT,560,95,45 to 54 years,Merced,May,2016,email,TRUE,2003,TRUE,
133,SENIOR,24,29,65 to 74 years,West Portal,March,2014,email,TRUE,2003,FALSE,
134,ADULT,105,108,60 to 64 years,Richmond,July,2016,email,TRUE,2003,TRUE,
135,SENIOR,367,109,65 to 74 years,Eureka Valley/Harvey Milk Memorial,July,2016,email,TRUE,2003,FALSE,
136,ADULT,481,131,60 to 64 years,Chinatown,September,2015,email,TRUE,2003,TRUE,
137,ADULT,38,3,35 to 44 years,Richmond,November,2015,phone,TRUE,2003,FALSE,
138,ADULT,3186,556,25 to 34 years,Main Library,July,2016,email,TRUE,2003,TRUE,
139,ADULT,36,84,60 to 64 years,Main Library,January,2015,email,TRUE,2003,TRUE,
140,ADULT,983,1162,35 to 44 years,Chinatown,July,2016,email,TRUE,2003,TRUE,
141,ADULT,179,107,35 to 44 years,Mission Bay,May,2015,email,TRUE,2003,FALSE,
142,SENIOR,469,282,65 to 74 years,Chinatown,July,2016,email,TRUE,2003,FALSE,1
143,ADULT,256,102,45 to 54 years,Portola,July,2016,email,TRUE,2003,FALSE,9
144,ADULT,552,105,55 to 59 years,Richmond,July,2016,email,TRUE,2003,FALSE,1
145,ADULT,581,159,60 to 64 years,Main Library,August,2013,email,TRUE,2003,FALSE,10
146,ADULT,1245,1439,55 to 59 years,North Beach,July,2016,email,TRUE,2003,FALSE,3
147,SENIOR,421,272,65 to 74 years,Anza,July,2016,email,TRUE,2003,FALSE,1
148,SENIOR,98,29,65 to 74 years,Noe Valley/Sally Brunn,July,2016,email,TRUE,2003,FALSE,8
149,ADULT,251,252,35 to 44 years,Anza,July,2016,email,TRUE,2003,FALSE,1
150,ADULT,365,178,60 to 64 years,Mission,August,2015,phone,FALSE,2003,FALSE,8
151,ADULT,15,9,60 to 64 years,West Portal,January,2016,email,TRUE,2003,FALSE,7
152,ADULT,430,268,45 to 54 years,West Portal,July,2016,phone,FALSE,2003,FALSE,7
153,ADULT,901,60,55 to 59 years,Main Library,August,2013,email,TRUE,2003,FALSE,10
154,ADULT,423,364,35 to 44 years,Park,August,2015,email,TRUE,2003,FALSE,1
155,ADULT,1597,645,45 to 54 years,Ocean View,July,2016,email,TRUE,2003,FALSE,11
156,ADULT,88,60,60 to 64 years,Glen Park,May,2016,email,TRUE,2003,FALSE,8
157,SENIOR,604,442,65 to 74 years,Eureka Valley/Harvey Milk Memorial,July,2016,email,TRUE,2003,FALSE,8
158,ADULT,228,30,35 to 44 years,North Beach,April,2014,email,TRUE,2003,FALSE,11
159,ADULT,157,24,60 to 64 years,Main Library,August,2014,phone,FALSE,2003,FALSE,2
160,SENIOR,634,136,65 to 74 years,Noe Valley/Sally Brunn,July,2016,email,TRUE,2003,FALSE,8
161,SENIOR,521,36,65 to 74 years,Main Library,July,2015,phone,FALSE,2003,FALSE,8
162,ADULT,922,280,45 to 54 years,West Portal,July,2016,email,TRUE,2003,FALSE,7
163,ADULT,84,17,60 to 64 years,Glen Park,March,2015,email,TRUE,2003,FALSE,9
164,ADULT,952,263,45 to 54 years,Parkside,July,2016,email,TRUE,2003,FALSE,4
165,SENIOR,723,475,65 to 74 years,Mission,July,2016,email,TRUE,2003,FALSE,8
166,ADULT,63,3,45 to 54 years,Merced,March,2015,phone,FALSE,2003,FALSE,4
